jugador;pais;posicion;equipo;liga;edad;partidos_jugados;partidos_titular;minutos_jugados;goles_sin_penalties;npxG+xA;goles;disparos;disparos_a_puerta;%_disparos_a_puerta;goles/disparo;goles/disparo_a_puerta;distancia_media_disparo;tiros_libres_lanzados;penalties_marcados;penalties_intentados;xG;npxG;npxG/Sh;G-xG;npG-xG;pases_completados;pases_intentados;%_pases_completados;valor_de_mercado
Brendan Chardonnet;FRA;DF;Brest;fr Ligue 1;26;32;31;2686;3;2;3;13;6;46,2;0,23;0,5;12,9;0;0;0;1,5;1,5;0,12;1,5;1,5;1044;1248;83,7;3750000
Brian Brobbey;NED;FW;RB Leipzig;de Bundesliga;19;9;1;131;0;1,1;0;4;0;0;0;0;7,8;0;0;0;0,5;0,5;0,12;-0,5;-0,5;32;38;84,2;10142857
Brian Oliván;ESP;DF;Mallorca;es La Liga;27;28;24;2189;1;3,6;1;20;7;35;0,05;0,14;21,5;1;0;1;2,2;1,5;0,07;-1,2;-0,5;662;1005;65,9;2200000
Bruno Fernandes;POR;MF;Manchester Utd;eng Premier League;26;36;35;3111;10;16,6;10;87;29;33,3;0,11;0,34;21,2;6;0;2;9,7;8,2;0,09;0,3;1,8;1524;2024;75,3;86000000
Bruno Guimarães;BRA;MF;Lyon;fr Ligue 1;23;20;19;1634;0;4,6;0;11;2;18,2;0;0;22,9;1;0;0;0,8;0,8;0,07;-0,8;-0,8;1178;1352;87,1;42000000
Bryan Cristante;ITA;MF;Roma;it Serie A;26;34;29;2678;2;3,9;2;39;5;12,8;0,05;0,4;15,1;0;0;0;2,3;2,3;0,06;-0,3;-0,3;1478;1794;82,4;19600000
Bryan Lasme;FRA;FW;Arminia;de Bundesliga;22;23;7;877;2;1,3;2;14;7;50;0,14;0,29;14,5;0;0;0;0,8;0,8;0,06;1,2;1,2;122;197;61,9;1480000
Bryan Mbeumo;FRA;FW;Brentford;eng Premier League;21;35;34;2905;3;12,5;4;77;19;24,7;0,04;0,16;15,9;3;1;1;9,7;9;0,12;-5,7;-6;544;814;66,8;19833333
Bryan Reynolds;USA;DF;Roma;it Serie A;20;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;100;3928571
Bukayo Saka;ENG;FW,MF;Arsenal;eng Premier League;19;38;36;2978;9;15,2;11;95;29;30,5;0,09;0,31;16,9;0;2;2;9,7;8,2;0,09;1,3;0,8;892;1184;75,3;78125000
Béni Makouana;CGO;FW,MF;Montpellier;fr Ligue 1;18;23;1;322;0;1,1;0;7;0;0;0;0;13,5;0;0;0;0,7;0,7;0,1;-0,7;-0,7;57;79;72,2;600000
CJ Egan-Riley;ENG;DF;Manchester City;eng Premier League;18;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;100;1575000
Caleb Ekuban;GHA;FW,MF;Genoa;it Serie A;27;30;18;1716;1;6,2;1;39;7;17,9;0,03;0,14;13,9;0;0;0;3,8;3,8;0,1;-2,8;-2,8;302;434;69,6;4216666
Callum Hudson-Odoi;ENG;FW,MF;Chelsea;eng Premier League;20;15;11;962;1;4,4;1;17;7;41,2;0,06;0,14;13,2;0;0;0;2,1;2,1;0,12;-1,1;-1,1;313;393;79,6;28000000
Callum Wilson;ENG;FW;Newcastle Utd;eng Premier League;29;18;16;1386;6;5,5;8;32;12;37,5;0,19;0,5;13,4;0;2;2;6,5;5;0,15;1,5;1;123;176;69,9;20600000
Calum Chambers;ENG;DF;Arsenal;eng Premier League;26;2;2;170;0;0,1;0;2;0;0;0;0;20,3;0;0;0;0,1;0,1;0,04;-0,1;-0,1;81;98;82,7;10666666
Calvin Stengs;NED;MF;Nice;fr Ligue 1;22;24;11;1073;1;5,4;1;21;6;28,6;0,05;0,17;17,3;0;0;0;3;3;0,14;-2;-2;307;422;72,7;13625000
Cameron Archer;ENG;MF,FW;Aston Villa;eng Premier League;19;3;0;27;0;0;0;1;0;0;0;0;13;0;0;0;0;0;0,02;0;0;5;5;100;6133333
